Label,Message
0,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... 
0,"Sorry, I'll call later"
0,Ok i msg u b4 i leave my house.
0,Chk in ur belovd ms dict
0,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!
1,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
0,Hi da:)how is the todays class?
0,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
0,"Poyyarikatur,kolathupalayam,unjalur post,erode dis, &lt;#&gt; ."
0,You will be in the place of that man
0,Enjoy urself tmr...
0,Dude sux for snake. He got old and raiden got buff
0,"I'm home, my love ... If your still awake ... *loving kiss*"
0,"Sorry, I can't text &amp; drive coherently, see you in twenty"
0,&lt;#&gt; ISH MINUTES WAS 5 MINUTES AGO. WTF.
0,Me too watching surya movie only. . .after 6 pm vijay movie POKKIRI
0,Ok . . now i am in bus. . If i come soon i will come otherwise tomorrow
0,Hey gals...U all wanna meet 4 dinner at nìte? 
0,Compliments to you. Was away from the system. How your side.
1,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
0,How much would it cost to hire a hitman
0,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
0,"Perhaps * is much easy give your account identification, so i will tomorrow at UNI"
0,Can. Dunno wat to get 4 her...
0,I think that tantrum's finished so yeah I'll be by at some point
1,2/2 146tf150p
0,"Hm good morning, headache anyone? :-)"
0,How stupid to say that i challenge god.You dont think at all on what i write instead you respond immed.
0,"Dizzamn, aight I'll ask my suitemates when I get back"
0,Tell your friends what you plan to do on Valentines day @ &lt;URL&gt;
1,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
0,Nope but i'll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
0,Booked ticket for pongal?
0,"That's fine, have him give me a call if he knows what he wants or has any questions"
0,"* Was a nice day and, impressively, i was sensible, went home early and now feel fine. Or am i just boring?! When's yours, i can't remember."
0,You do what all you like
0,Where's my boytoy? I miss you ... What happened?
0,Ü dun need to pick ur gf?
1,FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline
0,Yup... How ü noe leh...
1,Are you unique enough? Find out from 30th August. www.areyouunique.co.uk
0,Happy birthday... May u find ur prince charming soon n dun work too hard...
0,"Cool, want me to go to kappa or should I meet you outside mu"
1,"I want some cock! My hubby's away, I need a real man 2 satisfy me. Txt WIFE to 89938 for no strings action. (Txt STOP 2 end, txt rec £1.50ea. OTBox 731 LA1 7WS. )"
0,"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng"
0,Fuck babe ... What happened to you ? How come you never came back?
0,Sorry . I will be able to get to you. See you in the morning.
0,I'm turning off my phone. My moms telling everyone I have cancer. And my sister won't stop calling. It hurts to talk. Can't put up with it. See u when u get home. Love u
0,"4 tacos + 1 rajas burrito, right?"
1,Text & meet someone sexy today. U can find a date or even flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
0,What i mean is do they come chase you out when its over or is it stated you can watch as many movies as you want.
0,Can't take any major roles in community outreach. You rock mel
0,Yes. It's all innocent fun. O:-)
0,Let me know when you've got the money so carlos can make the call
0,Hello darlin ive finished college now so txt me when u finish if u can love Kate xxx
0,Ok... Help me ask if she's working tmr a not?
0,Ü give me some time to walk there.
1,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p"
0,Pls she needs to dat slowly or she will vomit more.
1,"U can WIN £100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription"
0,No but the bluray player can
0,Nope i'll come online now..
0,"That's cool, I'll come by like  &lt;#&gt; ish"
0,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
1,"YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+"
1,Dont forget you can place as many FREE Requests with 1stchoice.co.uk as you wish. For more Information call 08707808226.
0,I fetch yun or u fetch?
1,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
0,You do your studies alone without anyones help. If you cant no need to study.
0,Otherwise had part time job na-tuition..
0,"I want to show you the world, princess :) how about europe?"
1,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
1,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min
1,Text PASS to 69669 to collect your polyphonic ringtones. Normal gprs charges apply only. Enjoy your tones
